filename,dice,iou,gt_pixels,pred_pixels
1309.png,0.8894508670520231,0.8009108653220559,1244,1524
131.png,0.9487344487344488,0.9024688839012447,4760,4564
1326.png,0.8081363386476086,0.6780442804428044,1589,2049
1331.png,0.4909182643794147,0.3253092611166834,973,2991
1333.png,0.9222952779438135,0.85579589572934,1626,1720
1334.png,0.9287145720011452,0.8669160876536611,1717,1776
1341.png,0.8014159292035399,0.6686355581807443,2282,3368
1345.png,0.9064124783362218,0.8288431061806656,1626,1836
1346.png,0.652086137281292,0.4837743384922616,1027,1945
1353.png,0.9209814930338948,0.8535363268452496,4492,5126
1355.png,0.8105507039743362,0.6814504045549895,5318,5904
1361.png,0.7562120375483159,0.6079911209766926,3021,4223
1364.png,0.728563820344399,0.5730242948896956,3346,2287
1365.png,0.8998045602605863,0.8178588346755092,3520,4155
1367.png,0.9277028520893212,0.8651546391752577,2098,2425
1368.png,0.8309085030714517,0.7107300884955752,1316,1777
1370.png,0.767661310890079,0.6229304635761589,2349,1572
1371.png,0.883396336144228,0.7911458333333333,1901,1538
1372.png,0.8649155722326454,0.7619834710743801,1383,1815
1373.png,0.853005980484734,0.743688254665203,1355,1822
1378.png,0.4772793902081501,0.313438582980362,821,2590
138.png,0.8671570748593682,0.7654698242933538,3122,3811
1380.png,0.8405508544881367,0.7249570692615913,2729,3298
1381.png,0.5550692924872356,0.38414941948510856,829,1913
1384.png,0.5661192739844425,0.3948161543098252,1310,3318
1387.png,0.6496062992125984,0.48104956268221577,1339,2725
1388.png,0.7661434532088218,0.6209339774557165,2065,2968
1397.png,0.8968264165488886,0.8129513160959702,4146,3637
1398.png,0.8237061313669262,0.7002553981889946,4058,3265
1399.png,0.8527191298784389,0.7432522864153469,3737,4078
1401.png,0.8444546709618039,0.7307845479888491,2133,2213
1402.png,0.29857186889961984,0.17548309178743962,1511,8222
1406.png,0.5579617834394904,0.3869257950530035,1181,2744
1407.png,0.545045045045045,0.3746130030959752,1045,2507
1410.png,0.7229336437718277,0.5660893345487694,1242,2194
1411.png,0.6850728155339806,0.5209967697277342,1130,2166
1425.png,0.5857164704083193,0.41414359861591693,1919,4620
1426.png,0.8701364325416877,0.7701252236135957,1731,2227
1435.png,0.6765807446574136,0.5112368902946562,3071,6007
1436.png,0.8689762380635132,0.7683094443353623,3940,5066
